customer_id,name,email,registration_date,city,country
1,Customer_1,customer1@email.com,1/1/2020,Houston,USA
2,Customer_2,customer2@email.com,1/2/2020,Phoenix,USA
3,Customer_3,customer3@email.com,1/3/2020,Chicago,USA
4,Customer_4,customer4@email.com,1/4/2020,Phoenix,USA
5,Customer_5,customer5@email.com,1/5/2020,Phoenix,USA
6,Customer_6,customer6@email.com,1/6/2020,Los Angeles,USA
7,Customer_7,customer7@email.com,1/7/2020,Chicago,USA
8,Customer_8,customer8@email.com,1/8/2020,Chicago,USA
9,Customer_9,customer9@email.com,1/9/2020,Chicago,USA
10,Customer_10,customer10@email.com,1/10/2020,Phoenix,USA
11,Customer_11,customer11@email.com,1/11/2020,Houston,USA
12,Customer_12,customer12@email.com,1/12/2020,Chicago,USA
13,Customer_13,customer13@email.com,1/13/2020,Phoenix,USA
14,Customer_14,customer14@email.com,1/14/2020,Los Angeles,USA
15,Customer_15,customer15@email.com,1/15/2020,Houston,USA
16,Customer_16,customer16@email.com,1/16/2020,Los Angeles,USA
17,Customer_17,customer17@email.com,1/17/2020,Houston,USA
18,Customer_18,customer18@email.com,1/18/2020,Phoenix,USA
19,Customer_19,customer19@email.com,1/19/2020,New York,USA
20,Customer_20,customer20@email.com,1/20/2020,Houston,USA
21,Customer_21,customer21@email.com,1/21/2020,Los Angeles,USA
22,Customer_22,customer22@email.com,1/22/2020,Phoenix,USA
23,Customer_23,customer23@email.com,1/23/2020,Houston,USA
24,Customer_24,customer24@email.com,1/24/2020,New York,USA
25,Customer_25,customer25@email.com,1/25/2020,New York,USA
26,Customer_26,customer26@email.com,1/26/2020,Chicago,USA
27,Customer_27,customer27@email.com,1/27/2020,Chicago,USA
28,Customer_28,customer28@email.com,1/28/2020,Los Angeles,USA
29,Customer_29,customer29@email.com,1/29/2020,Houston,USA
30,Customer_30,customer30@email.com,1/30/2020,Houston,USA
31,Customer_31,customer31@email.com,1/31/2020,Chicago,USA
32,Customer_32,customer32@email.com,2/1/2020,Houston,USA
33,Customer_33,customer33@email.com,2/2/2020,LoS AngeleS,USA
34,Customer_34,customer34@email.com,2/3/2020,New York,USA
35,Customer_35,customer35@email.com,2/4/2020,Chicago,USA
36,Customer_36,customer36@email.com,2/5/2020,Phoenix,USA
37,Customer_37,customer37@email.com,2/6/2020,Chicago,USA
38,Customer_38,customer38@email.com,2/7/2020,Phoenix,USA
39,Customer_39,customer39@email.com,2/8/2020,New York,USA
40,Customer_40,customer40@email.com,2/9/2020,Los Angeles,USA
41,Customer_41,customer41@email.com,2/10/2020,Houston,USA
42,Customer_42,customer42@email.com,2/11/2020,New York,USA
43,Customer_43,customer43@email.com,2/12/2020,Houston,USA
44,Customer_44,customer44@email.com,2/13/2020,Los Angeles,USA
45,Customer_45,customer45@email.com,2/14/2020,Los Angeles,USA
46,Customer_46,customer46@email.com,2/15/2020,New York,USA
47,Customer_47,customer47@email.com,2/16/2020,Los Angeles,USA
48,Customer_48,customer48@email.com,2/17/2020,Phoenix,USA
49,Customer_49,customer49@email.com,2/18/2020,Los Angeles,USA
50,Customer_50,customer50@email.com,2/19/2020,Houston,USA
51,Customer_51,customer51@email.com,2/20/2020,Houston,USA
52,Customer_52,customer52@email.com,2/21/2020,Houston,USA
53,Customer_53,customer53@email.com,2/22/2020,Houston,USA
